timestamp,P_L.9.IS_Light,P_L.9.NE_Light,P_L.9.NW_Light,P_L.9.N_Light,P_L.9.SE_Light,P_L.9.SW_Light,P_L.9.S_Light,P_L.9.W_Light
7/26/15 3:00,0.346603333,0,0.13555,0.236523333,0.083083333,0.020196667,0,0
7/26/15 4:00,0.459526667,0.439143333,0.135663333,0.71942,0.10433,0.00504,0,0
7/26/15 5:00,0.388943333,0.25027,0.039416667,0.495663333,0.073553333,0.015273333,0,0
7/26/15 6:00,0.388043333,0.170783333,0,0.454923333,0.084253333,0.005076667,0,0
7/26/15 7:00,0.34551,0.19293,0,0.35968,0.084333333,0.005076667,0,0
7/26/15 8:00,0.346173333,0.380703333,0,0.388706667,0.079566667,0.010156667,0,0
7/26/15 9:00,0.38922,0.25567,0,0.592113333,0.099336667,0.020233333,0,0
7/26/15 10:00,0.640626667,0.181246667,0.290146667,0.16125,0.295663333,0.14371,0.243553333,0.184216667
7/26/15 11:00,0.346836667,0,0.030546667,0,0.067693333,0.00504,0,0
7/26/15 12:00,6.078633333,0,0,0.028556667,0.08375,0.015193333,0,0
7/26/15 13:00,0.343043333,0,0,0,0.099686667,0.00504,0,0
7/26/15 14:00,0.402033333,0,0,0.032536667,0.093666667,0.015156667,0,0
7/26/15 15:00,1.127926667,0.34871,0.217733333,0.218203333,0.289996667,0.20609,0.206793333,0.184923333
7/26/15 16:00,0.69093,0.904716667,0.342886667,0.515153333,0.062926667,0.005076667,0.580783333,0.204063333
7/26/15 17:00,1.065153333,0.593006667,0.767973333,0.643603333,0.1964,0.280386667,0.640123333,0.248633333
7/26/15 18:00,1.62195,0.927313333,1.188353333,1.114653333,0.089136667,0.700953333,0.926836667,0.68148
7/26/15 19:00,1.6109,1.011223333,1.513203333,1.56156,0.111013333,0.86872,0.897733333,1.38262
7/26/15 20:00,1.0454,1.381083333,1.325003333,1.800826667,0.27723,1.071493333,0.81711,1.12817
7/26/15 21:00,1.87766,1.056826667,1.32294,2.00997,0.107773333,0.908703333,0.941246667,0.967113333
7/26/15 22:00,1.765936667,0.810353333,1.25223,2.164886667,0.51895,0.87836,1.04285,1.572886667
7/26/15 23:00,1.282973333,0.888633333,1.326516667,2.19945,0.350776667,0.99078,1.100233333,1.36477
7/27/15 0:00,1.80008,1.100306667,1.498006667,1.872773333,0.10543,1.061756667,0.954753333,1.831673333
7/27/15 1:00,1.73289,1.084926667,1.08141,2.09211,0.098913333,0.930033333,0.670616667,1.628483333
7/27/15 2:00,1.43239,1.451056667,0.92235,1.744143333,0.155363333,0.75587,1.234956667,1.713756667
7/27/15 3:00,1.770583333,1.39473,0.981876667,1.973123333,0.303793333,0.257463333,1.164993333,1.552773333
7/27/15 4:00,1.794616667,1.409376667,1.35279,2.32633,0.07844,0.343906667,1.262343333,1.716993333
7/27/15 5:00,1.336203333,1.62285,1.51719,2.100936667,0.29195,0.332066667,1.121876667,1.59824
7/27/15 6:00,1.917263333,1.695396667,1.67711,2.19164,0.23832,0.324453333,1.21336,1.774296667
7/27/15 7:00,1.640903333,1.216833333,1.589143333,2.046253333,0.412496667,0.312846667,1.260786667,1.408396667
7/27/15 8:00,1.355896667,1.622226667,1.806953333,2.463946667,0.33207,0.523666667,1.185426667,1.606363333
7/27/15 9:00,1.94265,1.708563333,1.50926,2.29696,0.252493333,0.403276667,0.925506667,1.29645
7/27/15 10:00,1.853896667,1.55257,1.610403333,2.231996667,0.544693333,0.362653333,1.10324,1.262146667
7/27/15 11:00,1.335976667,1.643246667,1.682113333,2.09961,0.100656667,0.41212,1.01219,1.560436667
7/27/15 12:00,1.272343333,1.371716667,1.22676,1.91722,0.268863333,0.53121,1.274606667,1.24206
7/27/15 13:00,1.283006667,1.27828,1.772306667,1.97664,0.248636667,0.32961,0.85129,1.619763333
7/27/15 14:00,1.041293333,1.264766667,1.60433,2.077606667,0.337493333,0.115156667,0.774963333,1.14785
7/27/15 15:00,0.860143333,0.92164,1.495506667,1.67707,0.248043333,0.13914,0.54176,1.247736667
7/27/15 16:00,1.00535,0.37113,0.809766667,1.328713333,0.072806667,0.170666667,0.438556667,0.9777
7/27/15 17:00,0.777256667,0.17988,0.448316667,0.999343333,0.068273333,0.29581,0.477656667,0.640113333
7/27/15 18:00,1.014013333,0.708633333,0.383246667,0.645786667,0.18868,0.38063,0.737156667,0.884416667
7/27/15 19:00,0.656086667,0.191326667,0.4804,0.748793333,0.259023333,0.208473333,0.579533333,0
7/27/15 20:00,0.38074,0,0.01039,0.326293333,0.07816,0.233006667,0.185233333,0
7/27/15 21:00,0.399883333,0.497656667,0,0.687453333,0.068983333,0.15473,0.182973333,0.09953
7/27/15 22:00,0.3984,0.335743333,0.30653,0.565936667,0.280583333,0.541523333,0.439256667,0.21039
7/27/15 23:00,0.345816667,0.29636,0,0.5377,0,0.255123333,0.19195,0
7/28/15 0:00,0.409063333,0.24922,0.038433333,0.54841,0,0.345356667,0.13391,0.0948
7/28/15 1:00,0.34496,0,0,0.28109,0,0.013203333,0.00715,0.006756667
7/28/15 2:00,0.346873333,0,0,0,0,0.010156667,0,0
7/28/15 3:00,0.345806667,0,0,0,0,0.015156667,0,0
7/28/15 4:00,0.344056667,0,0,0,0,0.015196667,0,0
7/28/15 5:00,0.346363333,0,0,0,0,0.015196667,0,0
7/28/15 6:00,0.346876667,0,0,0,0,0.010116667,0,0
7/28/15 7:00,0.34616,0,0,0,0,0.01512,0,0
7/28/15 8:00,0.346593333,0,0,0,0,0.015193333,0,0
7/28/15 9:00,0.345936667,0,0,0,0,0.005116667,0,0
